52,2021-10-28-1-12,null,null,null,null
53,2021-10-27-0-55,null,null,null,null
54,2021-10-27-5-50,null,null,null,null
55,2021-10-27-5-13,null,null,null,null
56,2021-10-28-21-23,null,null,null,null
57,2021-10-27-7-40,null,null,null,null
58,2021-10-28-10-14,null,null,null,null
59,2021-10-28-0-55,null,null,null,null
60,2021-10-27-22-52,null,null,null,null
61,2021-10-28-3-19,null,null,null,null
62,2021-10-28-11-17,null,null,null,null
63,2021-10-28-0-3,null,null,null,null
64,2021-10-27-10-47,null,null,null,null
65,2021-10-28-9-0,null,null,null,null
66,2021-10-27-8-28,null,null,null,null
67,2021-10-28-1-9,null,null,null,null
68,2021-10-27-13-35,null,null,null,null
69,2021-10-28-9-32,null,null,null,null
70,2021-10-28-17-41,null,null,null,null
71,2021-10-27-18-41,null,null,null,null
72,2021-10-28-16-51,null,null,null,null
73,2021-10-28-9-20,null,null,null,null
74,2021-10-28-9-32,null,null,null,null
75,2021-10-28-10-24,null,null,null,null
76,2021-10-28-5-22,null,null,null,null
77,2021-10-28-4-46,null,null,null,null
78,2021-10-28-16-22,null,null,null,null
79,2021-10-27-11-41,null,null,null,null
80,2021-10-27-0-34,null,null,null,null
81,2021-10-28-21-24,null,null,null,null
82,2021-10-27-1-32,null,null,null,null
83,2021-10-27-0-21,null,null,null,null
84,2021-10-28-7-28,null,null,null,null
85,2021-10-27-17-50,null,null,null,null
86,2021-10-28-21-10,null,null,null,null
87,2021-10-27-18-17,null,null,null,null
88,2021-10-27-10-5,null,null,null,null
89,2021-10-28-0-28,null,null,null,null
90,2021-10-27-9-57,null,null,null,null
91,2021-10-27-3-5,2021-10-28-3-5,null,null,null
92,2021-10-26-1-16,2021-10-28-1-16,null,null,null
93,2021-10-25-18-1,2021-10-26-18-1,null,null,null
94,2021-10-27-20-27,2021-10-28-20-27,null,null,null
95,2021-10-26-21-32,2021-10-28-21-32,null,null,null
96,2021-10-25-14-54,2021-10-28-14-54,null,null,null
97,2021-10-27-21-37,2021-10-28-21-37,null,null,null
98,2021-10-27-18-3,2021-10-28-18-3,null,null,null
99,2021-10-25-10-17,2021-10-26-10-17,null,null,null
100,2021-10-26-10-40,2021-10-27-10-40,null,null,null
101,2021-10-25-6-33,2021-10-28-6-33,null,null,null
102,2021-10-25-19-57,2021-10-28-19-57,null,null,null
103,2021-10-26-22-42,2021-10-27-22-42,null,null,null
104,2021-10-26-15-44,2021-10-27-15-44,null,null,null
105,2021-10-27-5-13,2021-10-28-5-13,null,null,null
106,2021-10-25-2-6,2021-10-27-2-6,null,null,null
107,2021-10-26-8-24,2021-10-27-8-24,null,null,null
108,2021-10-25-10-4,2021-10-28-10-4,null,null,null
109,2021-10-27-5-41,2021-10-28-5-41,null,null,null
110,2021-10-26-18-42,2021-10-28-18-42,null,null,null
111,2021-10-9-3-4,2021-10-10-3-4,2021-10-17-3-4,null,null
112,2021-1-1-6-33,2021-1-3-6-33,2021-1-10-6-33,null,null
113,2021-5-24-0-54,2021-5-26-0-54,2021-6-3-0-54,null,null
114,2021-5-19-6-37,2021-5-21-6-37,2021-5-28-6-37,null,null
115,2021-3-17-15-26,2021-3-19-15-26,2021-3-26-15-26,null,null
116,2021-6-9-15-7,2021-6-12-15-7,2021-6-19-15-7,null,null
117,2021-1-1-17-32,2021-1-4-17-32,2021-1-11-17-32,null,null
118,2021-2-19-2-0,2021-2-20-2-0,2021-2-27-2-0,null,null
119,2021-9-27-0-58,2021-9-29-0-58,2021-10-5-0-58,null,null
120,2021-8-4-20-41,2021-8-5-20-41,2021-8-12-20-41,null,null
121,2021-6-18-3-33,2021-6-20-3-33,2021-6-27-3-33,null,null
122,2021-8-10-17-35,2021-8-12-17-35,2021-8-19-17-35,null,null
123,2021-3-7-1-35,2021-3-9-1-35,2021-3-16-1-35,null,null
124,2021-7-7-3-3,2021-7-10-3-3,2021-7-17-3-3,null,null
125,2021-4-19-1-11,2021-4-22-1-11,2021-4-29-1-11,null,null
126,2021-6-14-0-25,2021-6-17-0-25,2021-6-24-0-25,null,null
127,2021-7-27-12-23,2021-7-30-12-23,2021-8-6-12-23,null,null
128,2021-5-6-4-35,2021-5-7-4-35,2021-5-14-4-35,null,null
129,2021-6-25-11-49,2021-6-28-11-49,2021-7-4-11-49,null,null
130,2021-6-11-3-4,2021-6-12-3-4,2021-6-19-3-4,null,null
131,2021-6-7-9-9,null,null,2021-6-9-9-9,2021-6-9-9-9
132,2021-4-27-15-1,null,null,2021-4-29-15-1,2021-4-29-15-1
133,2021-9-7-3-55,null,null,2021-9-9-3-55,2021-9-9-3-55
134,2021-2-3-0-46,null,null,2021-2-4-0-46,2021-2-4-0-46
135,2021-8-7-17-29,null,null,2021-8-9-17-29,2021-8-9-17-29
136,2021-2-28-13-30,null,null,2021-2-29-13-30,2021-2-29-13-30
137,2021-9-16-13-1,null,null,2021-9-18-13-1,2021-9-18-13-1
138,2021-8-8-18-38,null,null,2021-8-11-18-38,2021-8-11-18-38
139,2021-9-3-3-1,null,null,2021-9-5-3-1,2021-9-5-3-1
140,2021-9-13-1-34,null,null,2021-9-14-1-34,2021-9-14-1-34
141,2021-7-28-21-17,null,null,2021-7-29-21-17,2021-7-29-21-17
142,2021-3-20-13-43,null,null,2021-3-22-13-43,2021-3-22-13-43
143,2021-1-1-22-58,null,null,2021-1-2-22-58,2021-1-2-22-58
144,2021-10-23-10-48,null,null,2021-10-25-10-48,2021-10-25-10-48
145,2021-4-18-21-48,null,null,2021-4-21-21-48,2021-4-21-21-48
146,2021-2-16-12-18,null,null,2021-2-18-12-18,2021-2-18-12-18
147,2021-7-16-4-19,null,null,2021-7-19-4-19,2021-7-19-4-19
148,2021-9-26-22-26,null,null,2021-9-28-22-26,2021-9-28-22-26
149,2021-9-10-20-11,null,null,2021-9-11-20-11,2021-9-11-20-11
150,2021-3-3-3-12,null,null,2021-3-5-3-12,2021-3-5-3-12
151,2021-10-23-15-34,2021-10-25-15-34,null,2021-10-27-15-34,null
152,2021-10-24-22-20,2021-10-25-22-20,null,2021-10-27-22-20,null
153,2021-10-24-5-33,2021-10-25-5-33,null,2021-10-25-5-33,null
154,2021-10-22-17-9,2021-10-25-17-9,null,2021-10-25-17-9,null
155,2021-10-23-14-4,2021-10-24-14-4,null,2021-10-26-14-4,null
156,2021-10-24-17-17,2021-10-27-17-17,null,2021-10-27-17-17,null
157,2021-10-23-5-9,2021-10-24-5-9,null,2021-10-24-5-9,null
158,2021-10-22-22-16,2021-10-23-22-16,null,2021-10-25-22-16,null
159,2021-10-23-6-4,2021-10-24-6-4,null,2021-10-24-6-4,null
160,2021-10-24-9-39,2021-10-26-9-39,null,2021-10-26-9-39,null
161,2021-10-23-20-37,2021-10-26-20-37,null,2021-10-26-20-37,null
162,2021-10-22-19-37,2021-10-25-19-37,null,2021-10-25-19-37,null
163,2021-10-22-16-19,2021-10-24-16-19,null,2021-10-24-16-19,null
164,2021-10-24-22-43,2021-10-27-22-43,null,2021-10-27-22-43,null
165,2021-10-24-8-10,2021-10-25-8-10,null,2021-10-25-8-10,null
166,2021-10-24-22-19,2021-10-27-22-19,null,2021-10-28-22-19,null
167,2021-10-23-18-37,2021-10-26-18-37,null,2021-10-26-18-37,null
168,2021-10-24-22-23,2021-10-25-22-23,null,2021-10-25-22-23,null
169,2021-10-24-21-54,2021-10-26-21-54,null,2021-10-26-21-54,null
170,2021-10-23-11-43,2021-10-25-11-43,null,2021-10-27-11-43,null
171,2021-5-14-10-41,2021-5-17-10-41,null,2021-5-19-10-41,2021-5-21-10-41
172,2021-10-9-3-58,2021-10-11-3-58,null,2021-10-14-3-58,2021-10-16-3-58
173,2021-8-9-16-12,2021-8-12-16-12,null,2021-8-15-16-12,2021-8-17-16-12
174,2021-7-17-3-23,2021-7-18-3-23,null,2021-7-21-3-23,2021-7-23-3-23
175,2021-7-24-22-49,2021-7-27-22-49,null,2021-7-28-22-49,2021-7-30-22-49
176,2021-7-11-22-42,2021-7-12-22-42,null,2021-7-13-22-42,2021-7-15-22-42
177,2021-5-25-17-45,2021-5-28-17-45,null,2021-6-1-17-45,2021-6-3-17-45
178,2021-4-14-21-20,2021-4-17-21-20,null,2021-4-19-21-20,2021-4-21-21-20
179,2021-1-14-20-0,2021-1-15-20-0,null,2021-1-16-20-0,2021-1-18-20-0
180,2021-5-19-11-34,2021-5-20-11-34,null,2021-5-23-11-34,2021-5-25-11-34
181,2021-9-23-15-33,2021-9-25-15-33,null,2021-9-28-15-33,2021-9-30-15-33
182,2021-5-9-9-9,2021-5-11-9-9,null,2021-5-13-9-9,2021-5-15-9-9
183,2021-4-18-3-25,2021-4-20-3-25,null,2021-4-22-3-25,2021-4-24-3-25
184,2021-5-2-0-25,2021-5-3-0-25,null,2021-5-6-0-25,2021-5-8-0-25
185,2021-5-12-3-15,2021-5-13-3-15,null,2021-5-14-3-15,2021-5-16-3-15
186,2021-6-13-18-1,2021-6-16-18-1,null,2021-6-18-18-1,2021-6-20-18-1
187,2021-3-18-20-18,2021-3-21-20-18,null,2021-3-22-20-18,2021-3-24-20-18
188,2021-10-5-9-39,2021-10-8-9-39,null,2021-10-10-9-39,2021-10-12-9-39
189,2021-6-4-21-8,2021-6-6-21-8,null,2021-6-9-21-8,2021-6-11-21-8
190,2021-6-13-14-27,2021-6-14-14-27,null,2021-6-17-14-27,2021-6-19-14-27
191,2021-10-23-9-24,2021-10-24-9-24,null,2021-10-25-9-24,null
192,2021-10-24-10-4,2021-10-25-10-4,null,2021-10-27-10-4,null
193,2021-10-24-18-43,2021-10-26-18-43,null,2021-10-27-18-43,null
194,2021-10-24-16-47,2021-10-26-16-47,null,2021-10-26-16-47,null
195,2021-10-22-4-25,2021-10-23-4-25,null,2021-10-23-4-25,null
196,2021-3-2-6-1,2021-3-4-6-1,null,2021-3-5-6-1,2021-3-7-6-1
197,2021-3-7-15-31,2021-3-10-15-31,null,2021-3-13-15-31,2021-3-15-15-31
198,2021-3-7-3-55,2021-3-10-3-55,null,2021-3-13-3-55,2021-3-15-3-55
199,2021-1-21-11-54,2021-1-23-11-54,null,2021-1-24-11-54,2021-1-26-11-54
200,2021-10-28-6-51,2021-10-30-6-51,null,2021-11-2-6-51,2021-11-4-6-51
